iter	Passed	Remaining
0	59	89623
1	63	47225
2	66	33158
3	69	26144
4	73	21934
5	76	19108
6	80	17111
7	83	15484
8	86	14362
9	90	13456
10	94	12738
11	97	12142
12	101	11628
13	104	11128
14	108	10731
15	111	10353
16	115	10052
17	118	9781
18	122	9523
19	125	9289
20	128	9078
21	132	8909
22	135	8731
23	139	8568
24	142	8407
25	146	8290
26	150	8185
27	153	8051
28	156	7945
29	160	7852
30	163	7764
31	167	7690
32	171	7615
33	175	7547
34	178	7472
35	181	7374
36	184	7313
37	187	7228
38	190	7154
39	194	7094
40	197	7040
41	201	7002
42	205	6952
43	208	6887
44	211	6829
45	214	6790
46	218	6758
47	222	6717
48	225	6678
49	229	6643
50	231	6589
51	234	6541
52	238	6505
53	241	6459
54	244	6430
55	249	6421
56	253	6410
57	257	6399
58	260	6370
59	264	6343
60	267	6319
61	271	6300
62	274	6264
63	278	6241
64	282	6226
65	285	6213
66	289	6189
67	294	6194
68	297	6178
69	302	6181
70	306	6160
71	308	6127
72	312	6107
73	316	6090
74	319	6066
75	323	6070
76	328	6072
77	332	6069
78	337	6074
79	341	6062
80	345	6048
81	348	6027
82	352	6015
83	355	5989
84	358	5968
85	361	5947
86	365	5938
87	369	5929
88	372	5912
89	376	5899
90	380	5887
91	383	5869
92	386	5854
93	390	5844
94	394	5830
95	397	5806
96	401	5801
97	404	5783
98	408	5776
99	410	5752
100	413	5732
101	417	5715
102	419	5695
103	423	5686
104	427	5674
105	430	5662
106	433	5645
107	436	5631
108	441	5627
109	444	5621
110	447	5602
111	450	5585
112	455	5587
113	458	5575
114	462	5572
115	466	5560
116	469	5552
117	473	5541
118	476	5527
119	479	5514
120	482	5502
121	486	5493
122	489	5482
123	492	5464
124	495	5451
125	499	5441
126	502	5430
127	505	5421
128	509	5410
129	512	5398
130	515	5388
131	519	5380
132	522	5375
133	526	5366
134	529	5353
135	532	5337
136	535	5329
137	539	5320
138	542	5310
139	545	5301
140	548	5289
141	551	5273
142	555	5267
143	558	5257
144	561	5247
145	564	5239
146	567	5225
147	570	5211
148	574	5204
149	577	5193
150	581	5191
151	584	5184
152	588	5179
153	591	5171
154	594	5157
155	597	5150
156	601	5147
157	605	5139
158	608	5135
159	611	5123
160	615	5116
161	618	5110
162	622	5102
163	625	5092
164	627	5080
165	630	5068
166	633	5058
167	637	5057
168	641	5051
169	644	5042
170	647	5029
171	651	5027
172	654	5023
173	658	5017
174	661	5010
175	664	5000
176	667	4991
177	671	4985
178	674	4975
179	678	4977
180	681	4967
181	684	4956
182	688	4952
183	692	4950
184	695	4941
